Model,MAE,MSE,RMSE,R2,RMSLE,MAPE,TT (Sec)
Huber Regressor,1000.3468,2187536.599,1320.0223,0.2629,0.0884,0.0684,0.003
Passive Aggressive Regressor,1053.8139,2459084.6738,1356.3988,0.2511,0.0898,0.0714,0.002
Extra Trees Regressor,1312.2272,2778274.9734,1518.0213,0.1881,0.1174,0.106,0.014
Random Forest Regressor,1193.2722,2522646.8535,1431.7911,0.1798,0.1118,0.099,0.017
Orthogonal Matching Pursuit,1164.2409,2579407.4438,1494.1955,0.173,0.1068,0.0871,0.003
Elastic Net,1165.414,2582556.6275,1495.2961,0.1718,0.1069,0.0872,0.003
Bayesian Ridge,1174.5047,2591288.8275,1504.172,0.1683,0.1081,0.0885,0.002
Ridge Regression,1174.796,2608660.2987,1504.3331,0.1616,0.1076,0.088,0.003
AdaBoost Regressor,1215.1905,2454514.0676,1478.8671,0.1446,0.1147,0.0979,0.007
Lasso Least Angle Regression,1207.201,2705342.2144,1535.5862,0.1273,0.1102,0.0906,0.003
Lasso Regression,1207.201,2705342.1115,1535.5862,0.1273,0.1102,0.0906,0.003
Linear Regression,1209.3073,2715619.7055,1539.0651,0.122,0.1104,0.0908,0.242
Least Angle Regression,1209.3073,2715619.7055,1539.0651,0.122,0.1104,0.0908,0.003
K Neighbors Regressor,1311.4267,2987792.7987,1522.4636,0.0235,0.1195,0.1108,0.006
Decision Tree Regressor,1452.3167,3633325.3167,1764.6276,-0.3795,0.136,0.1154,0.002
Gradient Boosting Regressor,1366.3254,3367929.4499,1661.7517,-0.5029,0.1277,0.1103,0.006
Light Gradient Boosting Machine,2705.5901,10746270.8277,3033.6186,-2.6423,0.2325,0.2299,0.005
Dummy Regressor,2705.5901,10746270.8277,3033.6186,-2.6423,0.2325,0.2299,0.003
