Model,MAE,MSE,RMSE,R2,RMSLE,MAPE,TT (Sec)
Huber Regressor,392.0448,420028.1661,511.7183,0.5639,0.5941,0.3017,0.004
Bayesian Ridge,435.7258,437742.2091,547.4471,0.5052,0.67,0.3653,0.003
Orthogonal Matching Pursuit,432.0046,437761.696,542.3014,0.5036,0.6491,0.3434,0.003
Elastic Net,430.8196,438681.4555,542.7102,0.5022,0.6483,0.345,0.003
Ridge Regression,432.3172,443473.057,547.8271,0.4894,0.6466,0.3564,0.003
Lasso Regression,445.9466,458337.5506,566.7802,0.4447,0.6405,0.3834,0.003
Lasso Least Angle Regression,445.9469,458337.8954,566.7809,0.4447,0.6405,0.3835,0.003
Least Angle Regression,449.0583,459706.9164,569.9134,0.436,0.6331,0.3896,0.003
Linear Regression,449.0583,459706.9164,569.9134,0.436,0.6331,0.3896,0.246
K Neighbors Regressor,611.06,680954.068,754.6557,0.0875,0.9045,0.6762,0.006
Extra Trees Regressor,603.1423,711441.9225,728.1401,0.0623,0.788,0.5732,0.014
Random Forest Regressor,646.9525,768282.5397,782.3686,0.0176,0.9202,0.7474,0.018
Decision Tree Regressor,712.6167,879784.6833,851.0118,-0.1578,0.922,0.72,0.003
Gradient Boosting Regressor,725.6443,987330.1105,880.4702,-0.2847,0.9496,0.7087,0.007
AdaBoost Regressor,717.0363,891351.6284,836.4155,-0.3707,0.8706,0.7993,0.007
Passive Aggressive Regressor,669.2701,989315.7472,791.4802,-1.0161,0.464,0.4253,0.003
Light Gradient Boosting Machine,1039.7061,1402347.6619,1124.1863,-1.3274,1.2425,2.2699,0.006
Dummy Regressor,1039.7061,1402347.6619,1124.1863,-1.3274,1.2425,2.2699,0.003
