Model,MAE,MSE,RMSE,R2,RMSLE,MAPE,TT (Sec)
Random Forest Regressor,1085.8187,1965516.3935,1258.61,-0.6532,0.0862,0.0752,0.018
AdaBoost Regressor,1071.2393,1941706.2196,1279.7534,-0.8076,0.0889,0.0751,0.008
Extra Trees Regressor,959.8533,1636655.0314,1151.2993,-0.8585,0.0771,0.065,0.014
Gradient Boosting Regressor,1172.9408,2237202.0878,1353.6975,-1.0096,0.0918,0.0806,0.006
Dummy Regressor,1738.4353,5432227.0096,1940.9472,-1.174,0.1407,0.1321,0.003
Light Gradient Boosting Machine,1738.4353,5432227.0096,1940.9472,-1.174,0.1407,0.1321,0.005
Bayesian Ridge,833.0426,1337402.625,1009.0182,-1.5691,0.07,0.0589,0.003
Orthogonal Matching Pursuit,827.9961,1338418.9108,1006.9865,-1.5953,0.0702,0.0588,0.003
Elastic Net,827.8032,1341199.912,1008.1079,-1.6002,0.0703,0.0588,0.003
Ridge Regression,826.5217,1349640.149,1011.4108,-1.6151,0.0704,0.0586,0.002
Lasso Regression,826.2144,1353256.6117,1012.8531,-1.6208,0.0705,0.0586,0.003
Lasso Least Angle Regression,826.2143,1353256.4395,1012.853,-1.6208,0.0705,0.0586,0.003
Linear Regression,825.474,1354143.1017,1013.1355,-1.623,0.0705,0.0586,0.264
Least Angle Regression,825.474,1354143.1017,1013.1355,-1.623,0.0705,0.0586,0.002
K Neighbors Regressor,1177.5067,2442962.0587,1404.5984,-1.7389,0.101,0.0874,0.007
Decision Tree Regressor,1259.5333,2803717.6,1531.9932,-1.872,0.1089,0.0881,0.003
Huber Regressor,707.9588,1408132.6993,936.77,-1.9715,0.0681,0.0517,0.004
Passive Aggressive Regressor,1234.3965,2569773.2782,1445.2753,-2.8475,0.1042,0.0917,0.003
