Model,MAE,MSE,RMSE,R2,RMSLE,MAPE,TT (Sec)
K Neighbors Regressor,1593.6667,4706326.6667,1856.5262,-9.0231,0.3923,0.379,0.005
Random Forest Regressor,1504.2333,3984917.2333,1737.9729,-28.8283,0.3747,0.3795,0.017
Gradient Boosting Regressor,1714.9819,5602858.3555,2049.0333,-31.0579,0.4227,0.4432,0.005
AdaBoost Regressor,1459.8554,4009124.4353,1664.8912,-52.8189,0.3667,0.3645,0.007
Passive Aggressive Regressor,1520.5878,4896052.6566,1784.1616,-57.4909,0.3697,0.3523,0.003
Extra Trees Regressor,1459.55,3463745.7833,1616.9665,-62.2913,0.3567,0.3675,0.013
Huber Regressor,1604.6944,4960316.803,1903.1937,-76.6767,0.3999,0.3726,0.003
Bayesian Ridge,1668.6431,5116259.1896,1890.0195,-117.191,0.4009,0.4289,0.003
Dummy Regressor,1668.643,5116258.9154,1890.0194,-117.191,0.4009,0.4289,0.003
Light Gradient Boosting Machine,1668.643,5116258.9154,1890.0194,-117.191,0.4009,0.4289,0.004
Elastic Net,1683.6226,5151140.0339,1913.2829,-119.3766,0.4062,0.4313,0.003
Decision Tree Regressor,2075.0,7159166.6667,2405.7657,-121.641,0.513,0.4993,0.003
Ridge Regression,1697.0006,5056510.7012,1954.0648,-125.3345,0.4169,0.4293,0.003
Lasso Regression,1682.3365,4619308.3422,1949.6628,-137.1359,0.4241,0.4103,0.003
Lasso Least Angle Regression,1682.3379,4619313.3191,1949.6643,-137.1359,0.4241,0.4103,0.003
Linear Regression,1682.4879,4619191.2836,1950.0216,-137.2552,0.4244,0.41,0.243
Least Angle Regression,1682.488,4619191.807,1950.0218,-137.2552,0.4244,0.41,0.003
Orthogonal Matching Pursuit,1754.325,4905505.8682,1994.3381,-138.2445,0.4363,0.4301,0.003
