Model,MAE,MSE,RMSE,R2,RMSLE,MAPE,TT (Sec)
Bayesian Ridge,1492.604,3278495.6924,1693.4739,-0.9012,1.6223,2.2686,0.003
Light Gradient Boosting Machine,1492.604,3278495.6497,1693.4739,-0.9012,1.6223,2.2686,0.005
Dummy Regressor,1492.604,3278495.6497,1693.4739,-0.9012,1.6223,2.2686,0.003
Elastic Net,1494.2154,3281701.3416,1695.6242,-0.9123,1.623,2.2684,0.003
Ridge Regression,1507.0493,3309496.9567,1712.8401,-1.0081,1.6284,2.2667,0.003
Passive Aggressive Regressor,1539.7445,3265080.9489,1713.4754,-1.2006,1.6133,2.1895,0.003
K Neighbors Regressor,1612.23,3690413.822,1804.0429,-1.2956,1.6774,2.3035,0.006
Huber Regressor,1551.2104,3479660.7265,1767.5824,-1.2963,1.6519,2.4069,0.003
Lasso Regression,1550.305,3432268.7315,1771.0567,-1.4114,1.6454,2.2629,0.003
Lasso Least Angle Regression,1550.305,3432268.6319,1771.0567,-1.4114,1.6454,2.2629,0.003
Orthogonal Matching Pursuit,1550.9958,3433845.2116,1772.2334,-1.4276,1.6454,2.2605,0.003
Linear Regression,1550.9959,3433845.2966,1772.2335,-1.4276,1.6454,2.2605,0.238
Least Angle Regression,1550.9958,3433845.14,1772.2334,-1.4276,1.6454,2.2605,0.003
Random Forest Regressor,1922.7749,4835261.8776,2029.1164,-2.1354,1.7267,1.77,0.017
Extra Trees Regressor,2093.4391,6078651.1137,2198.5022,-3.9316,2.2893,1.8262,0.013
Gradient Boosting Regressor,2122.8358,6316564.9879,2266.07,-4.211,2.0226,1.4742,0.005
AdaBoost Regressor,2029.7274,5426920.0336,2172.8893,-4.2778,1.9918,1.5955,0.006
Decision Tree Regressor,2154.4333,6544723.1583,2301.4962,-4.3673,2.4904,1.4732,0.003
