Model,MASE,RMSSE,MAE,RMSE,MAPE,SMAPE,R2,TT (Sec)
AdaBoost w/ Cond. Deseasonalize & Detrending,0.6209,0.682,1784.575,2214.9527,0.6918,0.4293,-1.4885,0.0367
Extra Trees w/ Cond. Deseasonalize & Detrending,0.6275,0.7647,1794.8226,2471.4487,0.7058,0.4586,-2.3846,0.0533
Auto ARIMA,0.6402,0.6751,1823.9788,2188.4154,0.6899,0.4303,-1.493,0.3833
ARIMA,0.6402,0.6751,1823.9788,2188.4154,0.6899,0.4303,-1.493,0.3633
ETS,0.6525,0.6879,1857.3984,2228.0132,0.6951,0.4376,-1.6261,0.36
Theta Forecaster,0.6566,0.6956,1871.6796,2255.0444,0.7235,0.4383,-1.6469,0.0133
Polynomial Trend Forecaster,0.6583,0.6975,1876.1967,2261.1606,0.7254,0.4392,-1.6638,0.49
Exponential Smoothing,0.6583,0.6975,1876.1991,2261.1678,0.7254,0.4392,-1.6638,0.01
Light Gradient Boosting w/ Cond. Deseasonalize & Detrending,0.6629,0.6976,1888.0164,2260.4369,0.7172,0.4434,-1.6854,0.0367
Bayesian Ridge w/ Cond. Deseasonalize & Detrending,0.6676,0.7124,1904.5368,2309.1362,0.7227,0.4498,-1.7826,0.4333
Elastic Net w/ Cond. Deseasonalize & Detrending,0.6751,0.7181,1925.5855,2327.5813,0.7274,0.4555,-1.8248,0.0633
Linear w/ Cond. Deseasonalize & Detrending,0.6751,0.7181,1925.5856,2327.5814,0.7274,0.4555,-1.8248,0.0767
Lasso Least Angular Regressor w/ Cond. Deseasonalize & Detrending,0.6751,0.7181,1925.5854,2327.5812,0.7274,0.4555,-1.8248,0.02
Lasso w/ Cond. Deseasonalize & Detrending,0.6751,0.7181,1925.5854,2327.5812,0.7274,0.4555,-1.8248,0.02
Ridge w/ Cond. Deseasonalize & Detrending,0.6751,0.7181,1925.5856,2327.5814,0.7274,0.4555,-1.8248,0.07
Orthogonal Matching Pursuit w/ Cond. Deseasonalize & Detrending,0.6751,0.7181,1925.5856,2327.5814,0.7274,0.4555,-1.8248,0.02
Huber w/ Cond. Deseasonalize & Detrending,0.6974,0.7306,1989.7241,2368.5677,0.7447,0.472,-1.9173,0.02
K Neighbors w/ Cond. Deseasonalize & Detrending,0.7403,0.77,2113.9843,2498.0145,0.7839,0.4993,-2.2126,0.4567
Gradient Boosting w/ Cond. Deseasonalize & Detrending,0.7717,0.7692,2214.2024,2497.3814,0.7196,0.5339,-2.4329,0.03
Random Forest w/ Cond. Deseasonalize & Detrending,0.8005,0.84,2295.3882,2730.5314,0.8728,0.5499,-2.8471,0.0667
Decision Tree w/ Cond. Deseasonalize & Detrending,0.9748,1.0449,2813.2853,3402.6554,1.0715,0.7083,-4.6778,0.03
