Model,MAE,MSE,RMSE,R2,RMSLE,MAPE,TT (Sec)
Passive Aggressive Regressor,3128.7905,17773525.9537,3410.4769,-11.0408,0.7396,1.1761,0.003
Huber Regressor,3261.6083,18644364.5697,3677.088,-12.7263,0.8954,1.1747,0.003
Bayesian Ridge,3065.0867,17481013.5005,3380.6198,-14.0038,0.7354,1.3025,0.003
Dummy Regressor,3065.0867,17481013.5769,3380.6197,-14.0038,0.7354,1.3025,0.003
Light Gradient Boosting Machine,3065.0867,17481013.5769,3380.6197,-14.0038,0.7354,1.3025,0.006
Elastic Net,3101.7378,17429812.614,3409.2437,-14.0468,0.7388,1.2991,0.003
Ridge Regression,3270.3273,18170496.8634,3595.3131,-15.708,0.7801,1.3086,0.003
K Neighbors Regressor,3248.58,19161400.5133,3626.2883,-17.4261,0.7537,1.1582,0.006
Lasso Regression,3372.6337,19112108.4258,3729.5773,-17.4705,0.9196,1.3197,0.002
Lasso Least Angle Regression,3372.6336,19112106.719,3729.5771,-17.4705,0.9196,1.3197,0.003
Orthogonal Matching Pursuit,3373.0009,19117353.4787,3730.258,-17.4828,0.9243,1.3196,0.003
Linear Regression,3373.0007,19117352.4687,3730.2579,-17.4828,0.9243,1.3196,0.288
Least Angle Regression,3373.0008,19117352.7763,3730.258,-17.4828,0.9243,1.3196,0.003
AdaBoost Regressor,3192.2998,19415231.7926,3819.7298,-18.1468,0.7056,0.8727,0.005
Random Forest Regressor,3314.6285,19522766.6943,3946.9984,-19.8817,0.7315,0.9904,0.017
Extra Trees Regressor,3368.6482,21326434.7079,4070.0868,-25.5144,0.7132,0.9028,0.014
Gradient Boosting Regressor,3792.3525,25270421.3135,4518.2983,-33.4744,0.7843,1.0504,0.006
Decision Tree Regressor,3843.1,25880669.925,4578.6319,-34.9606,0.7911,1.0652,0.003
