Model,MAE,MSE,RMSE,R2,RMSLE,MAPE,TT (Sec)
Orthogonal Matching Pursuit,584.8375,709019.4039,695.608,-0.6585,0.2514,0.2716,0.003
Bayesian Ridge,582.5899,710307.9198,694.9627,-0.6594,0.2544,0.2712,0.003
Elastic Net,588.4864,709937.4555,697.3101,-0.6608,0.2498,0.2731,0.003
Ridge Regression,598.425,713394.3428,702.3142,-0.6678,0.2464,0.2769,0.003
Linear Regression,603.6327,716167.0232,705.392,-0.6727,0.2452,0.2788,0.244
Least Angle Regression,603.6327,716167.0232,705.392,-0.6727,0.2452,0.2788,0.003
Lasso Regression,603.4834,716365.2178,705.5254,-0.6733,0.2455,0.2787,0.002
Lasso Least Angle Regression,603.4834,716365.1934,705.5254,-0.6733,0.2455,0.2787,0.003
Huber Regressor,520.0872,744834.9766,648.3486,-0.7133,0.192,0.2345,0.003
Passive Aggressive Regressor,597.3205,812219.0337,722.4694,-1.0122,0.2795,0.2982,0.003
Random Forest Regressor,968.9457,2116929.6416,1111.4661,-1.2855,0.3228,0.3709,0.018
K Neighbors Regressor,1179.6833,3871296.3767,1403.0917,-1.3309,0.3424,0.3938,0.005
Extra Trees Regressor,771.6578,1095363.3177,907.8749,-1.4296,0.3097,0.3356,0.014
AdaBoost Regressor,949.8245,1538833.8987,1043.934,-1.4889,0.3256,0.3541,0.007
Gradient Boosting Regressor,930.9247,2017823.5525,1150.7172,-1.7275,0.3448,0.382,0.006
Decision Tree Regressor,1283.5833,5049220.4833,1441.888,-1.9316,0.3824,0.3991,0.003
Light Gradient Boosting Machine,3065.0867,17481013.5769,3380.6197,-14.0038,0.7354,1.3025,0.005
Dummy Regressor,3065.0867,17481013.5769,3380.6197,-14.0038,0.7354,1.3025,0.003
